,Id,City,Country,Latitude,Longitude,Temprature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
148,244878,Biltine,TD,14.53,20.93,82.2,64,12,1.36
149,2037252,Genhe,CN,50.78,121.52,53.85,92,24,2.71
150,1218612,Murgab,TM,37.5,61.97,71.6,43,0,4.7
151,541446,Krasnyy Profintern,RU,57.74,40.44,64.74,68,0,3.27
152,3471451,Arraial do Cabo,BR,-22.97,-42.02,66.2,88,90,3.36
153,4021858,Guerrero Negro,MX,27.97,-114.04,78.15,69,0,7.96
154,5905393,Bonavista,CA,48.65,-53.11,68.79,74,44,9.98
155,3389822,Salinopolis,BR,-0.61,-47.36,84.36,86,0,16.24
156,3386213,Touros,BR,-5.2,-35.46,82.92,67,20,19.26
157,652977,Keuruu,FI,62.26,24.71,50.88,81,0,3.36
158,5984000,Iroquois Falls,CA,48.76,-80.69,75.2,78,90,8.05
159,1701394,Manuk Mangkaw,PH,4.8,119.85,84.45,98,44,4.61
160,1244926,Hambantota,LK,6.12,81.12,81.03,95,20,15.12
161,2094746,Kandrian,PG,-6.21,149.55,72.3,99,20,2.37
162,1648082,Boyolangu,ID,-8.09,111.9,68.97,91,68,5.17
163,2122605,Okhotsk,RU,59.36,143.24,52.05,100,0,3.15
164,643453,Sola,FI,62.78,29.36,55.4,82,75,2.24
165,3374083,Bathsheba,BB,13.22,-59.52,86.0,70,20,16.11
166,2214827,Mizdah,LY,31.45,12.98,86.52,21,0,3.38
167,3674161,Murindo,CO,6.98,-76.75,81.12,88,64,3.49
168,2092164,Lorengau,PG,-2.02,147.27,82.56,100,68,6.4
169,3348078,Kuito,AO,-12.38,16.94,68.52,28,0,6.06
170,2737599,Saldanha,PT,41.42,-6.55,85.44,26,92,6.51
171,2015913,Suntar,RU,62.16,117.65,53.94,89,44,2.37
172,2758462,Boxmeer,NL,51.65,5.95,62.87,72,90,6.93
173,2030065,Mandalgovi,MN,45.76,106.27,55.11,82,56,6.4
174,2656847,Atherton,GB,53.52,-2.49,60.48,77,90,10.29
175,6316343,Alta Floresta,BR,-9.87,-56.08,96.24,33,0,3.94
176,3985710,Cabo San Lucas,MX,22.89,-109.91,90.43,52,75,11.41
177,2176639,Batemans Bay,AU,-35.71,150.18,42.06,100,0,8.52
178,178202,Webuye,KE,0.62,34.77,57.2,93,75,6.93
179,3402429,Caucaia,BR,-3.73,-38.66,84.2,54,0,13.87
180,1262216,Nagaur,IN,27.2,73.74,84.9,61,48,4.61
181,3421982,Maniitsoq,GL,65.42,-52.9,44.22,91,0,4.38
